Front,Back,Tags
上课,"shàngkè (Class begins / to attend class)

我们八点上课。
Wǒmen bā diǎn shàngkè.
We start class at 8.",type::verb lesson::lesson2 frequency::high topic::classroom hsk::1 grammar::separable
下课,"xiàkè (Class is over)

下午三点下课。
Xiàwǔ sān diǎn xiàkè.
Class ends at 3 PM.",type::verb lesson::lesson2 frequency::high topic::classroom hsk::1 grammar::separable
休息一下,"xiūxi yīxià (Take a break)

我们休息一下吧。
Wǒmen xiūxi yīxià ba.
Let’s take a break.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2 grammar::verb+一下
请听我说,"qǐng tīng wǒ shuō (Please listen to me)

请听我说完。
Qǐng tīng wǒ shuō wán.
Please listen to me finish.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
请跟我读,"qǐng gēn wǒ dú (Please read after me)

请跟我读这个生词。
Qǐng gēn wǒ dú zhège shēngcí.
Please read this new word after me.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
请看白板,"qǐng kàn bái bān (Please look at the whiteboard)

请看白板上的例句。
Qǐng kàn bái bān shàng de lìjù.
Please look at the example sentences on the whiteboard.",type::phrase lesson::lesson2 frequency::medium topic::classroom
请看书写,"qǐng kàn shū (Please look at the book)

请看书写第五页的练习。
Qǐng kàn shū xiě dì-wǔ yè de liànxí.
Look at the book and do the exercises on page 5.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::1
请再说一遍,"qǐng zài shuō yī biàn (Please say it again)

我没听清，请再说一遍。
Wǒ méi tīng qīng, qǐng zài shuō yī biàn.
I didn’t hear clearly, please say it again.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::1
请写拼音,"qǐng xiě pīnyīn (Please write it in Pinyin)

请写拼音，不要写汉字。
Qǐng xiě pīnyīn, bú yào xiě Hànzì.
Please write Pinyin, not characters.",type::phrase lesson::lesson2 frequency::medium topic::classroom hsk::2
第几声,"dì jǐ shēng (Which tone?)

这个字第几声？
Zhège zì dì jǐ shēng?
Which tone is this character?",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::1
请慢慢说,"qǐng mànmàn shuō (Please speak slowly)

请慢慢说，我在记笔记。
Qǐng mànmàn shuō, wǒ zài jì bǐjì.
Please speak slowly, I’m taking notes.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
我没听懂,"wǒ méi tīngdǒng (I didn’t understand)

对不起，我没听懂。
Duìbuqǐ, wǒ méi tīngdǒng.
Sorry, I didn’t understand.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::1 grammar::resultative_complement
把书翻到第一页,"bǎ shū fān dào dì-yī yè (Turn to page 1)

请大家把书翻到第一页。
Qǐng dàjiā bǎ shū fān dào dì-yī yè.
Everyone, turn to page 1.",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2 grammar::把-sentence
请问这个用汉语怎么说,"qǐngwèn zhège yòng Hànyǔ zěnme shuō (How do you say this in Chinese?)

请问“computer”用汉语怎么说？
Qǐngwèn “computer” yòng Hànyǔ zěnme shuō?
How do you say “computer” in Chinese?",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
请问这个汉字怎么读,"qǐngwèn zhège Hànzì zěnme dú (How do you pronounce this character?)

请问这个汉字怎么读？是第三声吗？
Qǐngwèn zhège Hànzì zěnme dú? Shì dì-sān shēng ma?
How do you read this character? Is it third tone?",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
请问这个生词是什么意思,"qǐngwèn zhège shēngcí shì shénme yìsi (What does this new word mean?)

请问“方便”这个生词是什么意思？
Qǐngwèn “fāngbiàn” zhège shēngcí shì shénme yìsi?
What does the new word “fāngbiàn” mean?",type::phrase lesson::lesson2 frequency::high topic::classroom hsk::2
姓,"xìng (be surnamed)

我姓王。
Wǒ xìng Wáng.
My surname is Wang.",type::verb lesson::lesson3 frequency::high topic::personal hsk::1
叫,"jiào (be called)

她叫李芳。
Tā jiào Lǐ Fāng.
She is called Li Fang.",type::verb lesson::lesson3 frequency::high topic::personal hsk::1
名字,"míngzi (name)

我的名字是张伟。
Wǒ de míngzi shì Zhāng Wěi.
My name is Zhang Wei.",type::noun lesson::lesson3 frequency::high topic::personal hsk::1
今年,"jīnnián (this year)

今年我二十岁。
Jīnnián wǒ èrshí suì.
I’m 20 years old this year.",type::noun lesson::lesson3 frequency::high topic::time hsk::1
多,"duō (how (to what extent))

你多大了？
Nǐ duō dà le?
How old are you?",type::adverb lesson::lesson3 frequency::high topic::questions hsk::1 grammar::question_word
大,"dà (old (of age))

我哥哥比我大三岁。
Wǒ gēge bǐ wǒ dà sān suì.
My older brother is three years older than me.",type::adj lesson::lesson3 frequency::high topic::personal hsk::1
哪,"nǎ (which)

你是哪国人？
Nǐ shì nǎ guó rén?
Which country are you from?",type::pronoun lesson::lesson3 frequency::high topic::questions hsk::1 grammar::question_word
国,"guó (country)

中国很大。
Zhōngguó hěn dà.
China is very big.",type::noun lesson::lesson3 frequency::high topic::geography hsk::1
泰国,"Tàiguó (Thailand)

泰国有很多水果。
Tàiguó yǒu hěn duō shuǐguǒ.
Thailand has a lot of fruit.",type::noun lesson::lesson3 frequency::high topic::countries hsk::1
泰国人,"Tàiguórén (Thai person)

她是泰国人。
Tā shì Tàiguórén.
She is Thai.",type::noun lesson::lesson3 frequency::high topic::nationality hsk::1
久,"jiǔ (for a long time)

好久不见。
Hǎo jiǔ bú jiàn.
Long time no see.",type::adj lesson::lesson3 frequency::high topic::time hsk::2
现在,"xiànzài (now)

现在几点了？
Xiànzài jǐ diǎn le?
What time is it now?",type::noun lesson::lesson3 frequency::high topic::time hsk::1
在,"zài (be at/in)

我在家里。
Wǒ zài jiā lǐ.
I am at home.",type::verb/prep lesson::lesson3 frequency::high topic::location hsk::1
哪儿,"nǎr (where)

你去哪儿？
Nǐ qù nǎr?
Where are you going?",type::pronoun lesson::lesson3 frequency::high topic::questions hsk::1 grammar::question_word
武汉,"Wǔhàn (Wuhan)

武汉大学很有名。
Wǔhàn Dàxué hěn yǒumíng.
Wuhan University is very famous.",type::noun lesson::lesson3 frequency::high topic::cities hsk::2
大家,"dàjiā (everybody)

大家好！
Dàjiā hǎo!
Hello everyone!",type::pronoun lesson::lesson3 frequency::high topic::greetings hsk::1
介绍,"jièshào (introduce)

我来介绍一下我的朋友。
Wǒ lái jièshào yīxià wǒ de péngyou.
Let me introduce my friend.",type::verb lesson::lesson3 frequency::high topic::social hsk::2
一下,"yīxià ((complement, an attempt))

你看一下。
Nǐ kàn yīxià.
Take a look.",type::auxiliary lesson::lesson3 frequency::high topic::grammar hsk::2 grammar::verb+一下
