Front,Back,Tags
"你<br><span style=""font-size:0.55em;color:#666"">nǐ</span>",you (2nd person singular)<br><br>你好吗？<br>Nǐ hǎo ma?<br>How are you?,type::pronoun lesson::lesson1 frequency::high topic::pronouns hsk::1
"是<br><span style=""font-size:0.55em;color:#666"">shì</span>",be (am/is/are)<br><br>我是老师。<br>Wǒ shì lǎoshī.<br>I am a teacher.,type::verb lesson::lesson1 frequency::high topic::grammar hsk::1
"中国<br><span style=""font-size:0.55em;color:#666"">Zhōngguó</span>",China<br><br>我来自中国。<br>Wǒ láizì Zhōngguó.<br>I come from China.,type::noun lesson::lesson1 frequency::high topic::countries hsk::1
"中国人<br><span style=""font-size:0.55em;color:#666"">Zhōngguórén</span>",Chinese (person)<br><br>她是中国人。<br>Tā shì Zhōngguórén.<br>She is Chinese.,type::noun lesson::lesson1 frequency::high topic::nationality hsk::1
"吗<br><span style=""font-size:0.55em;color:#666"">ma</span>",[used at the end of an interrogative sentence]<br><br>你是老师吗？<br>Nǐ shì lǎoshī ma?<br>Are you a teacher?,type::particle lesson::lesson1 frequency::high topic::grammar hsk::1 grammar::question_particle
"我<br><span style=""font-size:0.55em;color:#666"">wǒ</span>",I; me<br><br>我是学生。<br>Wǒ shì xuésheng.<br>I am a student.,type::pronoun lesson::lesson1 frequency::high topic::pronouns hsk::1
"老师<br><span style=""font-size:0.55em;color:#666"">lǎoshī</span>",teacher<br><br>他是我的老师。<br>Tā shì wǒ de lǎoshī.<br>He is my teacher.,"type::noun lesson::lesson1 frequency::high topic::school,people hsk::1"
"不<br><span style=""font-size:0.55em;color:#666"">bù</span>",no; not<br><br>我不是学生。<br>Wǒ bú shì xuésheng.<br>I am not a student.,type::adverb lesson::lesson1 frequency::high topic::grammar hsk::1
"学生<br><span style=""font-size:0.55em;color:#666"">xuésheng</span>",student<br><br>我是学生。<br>Wǒ shì xuésheng.<br>I am a student.,"type::noun lesson::lesson1 frequency::high topic::school,people hsk::1"
"他<br><span style=""font-size:0.55em;color:#666"">tā</span>",he; him<br><br>他是谁？<br>Tā shì shéi?<br>Who is he?,type::pronoun lesson::lesson1 frequency::high topic::pronouns hsk::1
"谁<br><span style=""font-size:0.55em;color:#666"">shéi</span>",who<br><br>这是谁？<br>Zhè shì shéi?<br>Who is this?,type::pronoun lesson::lesson1 frequency::high topic::questions hsk::1 grammar::question_word
"我的<br><span style=""font-size:0.55em;color:#666"">wǒ de</span>",my; mine<br><br>这是我的书。<br>Zhè shì wǒ de shū.<br>This is my book.,type::pronoun lesson::lesson1 frequency::high topic::possession hsk::1
"这<br><span style=""font-size:0.55em;color:#666"">zhè</span>",this<br><br>这是我的书。<br>Zhè shì wǒ de shū.<br>This is my book.,type::pronoun lesson::lesson1 frequency::high topic::pronouns hsk::1
"你们<br><span style=""font-size:0.55em;color:#666"">nǐmen</span>",you (2nd person plural)<br><br>你们好！<br>Nǐmen hǎo!<br>Hello everyone!,type::pronoun lesson::lesson1 frequency::high topic::pronouns hsk::1
"书<br><span style=""font-size:0.55em;color:#666"">shū</span>",book<br><br>这是我的书。<br>Zhè shì wǒ de shū.<br>This is my book.,"type::noun lesson::lesson1 frequency::high topic::objects,school hsk::1"
"我们<br><span style=""font-size:0.55em;color:#666"">wǒmen</span>",we; us<br><br>我们是学生。<br>Wǒmen shì xuésheng.<br>We are students.,type::pronoun lesson::lesson1 frequency::high topic::pronouns hsk::1
"那<br><span style=""font-size:0.55em;color:#666"">nà</span>",that<br><br>那是你的手机吗？<br>Nà shì nǐ de shǒujī ma?<br>Is that your phone?,type::pronoun lesson::lesson1 frequency::high topic::pronouns hsk::1
"你的<br><span style=""font-size:0.55em;color:#666"">nǐ de</span>",your; yours (2nd person singular)<br><br>这是你的书吗？<br>Zhè shì nǐ de shū ma?<br>Is this your book?,type::pronoun lesson::lesson1 frequency::high topic::possession hsk::1
"手机<br><span style=""font-size:0.55em;color:#666"">shǒujī</span>",mobile phone<br><br>那是你的手机吗？<br>Nà shì nǐ de shǒujī ma?<br>Is that your phone?,type::noun lesson::lesson1 frequency::high topic::electronics hsk::1
"朋友<br><span style=""font-size:0.55em;color:#666"">péngyou</span>",friend<br><br>这是我的朋友。<br>Zhè shì wǒ de péngyou.<br>This is my friend.,type::noun lesson::lesson1 frequency::high topic::relationships hsk::1
"她<br><span style=""font-size:0.55em;color:#666"">tā</span>",she; her<br><br>她是谁？<br>Tā shì shéi?<br>Who is she?,type::pronoun lesson::lesson1 frequency::high topic::pronouns hsk::1
"去<br><span style=""font-size:0.55em;color:#666"">qù</span>",go to<br><br>你去学校吗？<br>Nǐ qù xuéxiào ma?<br>Are you going to school?,type::verb lesson::lesson2 frequency::high topic::movement hsk::1
"学校<br><span style=""font-size:0.55em;color:#666"">xuéxiào</span>",school<br><br>我去学校。<br>Wǒ qù xuéxiào.<br>I'm going to school.,type::noun lesson::lesson2 frequency::high topic::school hsk::1
"对<br><span style=""font-size:0.55em;color:#666"">duì</span>","right; correct<br><br>对，我去学校。<br>Duì, wǒ qù xuéxiào.<br>Right, I'm going to school.",type::adjective lesson::lesson2 frequency::high topic::agreement hsk::1
"会<br><span style=""font-size:0.55em;color:#666"">huì</span>",can<br><br>你会说汉语吗？<br>Nǐ huì shuō Hànyǔ ma?<br>Can you speak Chinese?,type::verb lesson::lesson2 frequency::high topic::ability hsk::1 grammar::modal_verb
"说<br><span style=""font-size:0.55em;color:#666"">shuō</span>",speak; say<br><br>你会说汉语吗？<br>Nǐ huì shuō Hànyǔ ma?<br>Can you speak Chinese?,type::verb lesson::lesson2 frequency::high topic::communication hsk::1
"汉语<br><span style=""font-size:0.55em;color:#666"">Hànyǔ</span>",Chinese (language)<br><br>我会说汉语。<br>Wǒ huì shuō Hànyǔ.<br>I can speak Chinese.,type::noun lesson::lesson2 frequency::high topic::language hsk::1
"写<br><span style=""font-size:0.55em;color:#666"">xiě</span>",write<br><br>我不会写汉字。<br>Wǒ bú huì xiě Hànzì.<br>I can't write Chinese characters.,type::verb lesson::lesson2 frequency::high topic::writing hsk::1
"汉字<br><span style=""font-size:0.55em;color:#666"">Hànzì</span>",Chinese character<br><br>我不会写汉字。<br>Wǒ bú huì xiě Hànzì.<br>I can't write Chinese characters.,type::noun lesson::lesson2 frequency::high topic::language hsk::1
"来<br><span style=""font-size:0.55em;color:#666"">lái</span>",come<br><br>你来中国做什么？<br>Nǐ lái Zhōngguó zuò shénme?<br>What did you come to China to do?,type::verb lesson::lesson2 frequency::high topic::movement hsk::1
"做<br><span style=""font-size:0.55em;color:#666"">zuò</span>",do<br><br>你来中国做什么？<br>Nǐ lái Zhōngguó zuò shénme?<br>What did you come to China to do?,type::verb lesson::lesson2 frequency::high topic::actions hsk::1
"什么<br><span style=""font-size:0.55em;color:#666"">shénme</span>",what<br><br>你叫什么名字？<br>Nǐ jiào shénme míngzi?<br>What is your name?,type::pronoun lesson::lesson2 frequency::high topic::questions hsk::1 grammar::question_word
"学习<br><span style=""font-size:0.55em;color:#666"">xuéxí</span>",study; learn<br><br>我来中国学习汉语。<br>Wǒ lái Zhōngguó xuéxí Hànyǔ.<br>I came to China to study Chinese.,type::verb lesson::lesson2 frequency::high topic::education hsk::1
"看<br><span style=""font-size:0.55em;color:#666"">kàn</span>",see; read; look at<br><br>你看什么书？<br>Nǐ kàn shénme shū?<br>What book are you reading?,type::verb lesson::lesson2 frequency::high topic::actions hsk::1
"请问<br><span style=""font-size:0.55em;color:#666"">qǐngwèn</span>","excuse me<br><br>请问，你叫什么名字？<br>Qǐngwèn, nǐ jiào shénme míngzi?<br>Excuse me, what's your name?",type::verb_phrase lesson::lesson2 frequency::high topic::polite_expressions hsk::1
"怎么<br><span style=""font-size:0.55em;color:#666"">zěnme</span>",how<br><br>这个汉字怎么读？<br>Zhège Hànzì zěnme dú?<br>How do you read this character?,type::pronoun lesson::lesson2 frequency::high topic::questions hsk::1 grammar::question_word
"读<br><span style=""font-size:0.55em;color:#666"">dú</span>",pronounce; read<br><br>请跟我读。<br>Qǐng gēn wǒ dú.<br>Please read after me.,type::verb lesson::lesson2 frequency::high topic::reading hsk::1
